EdgeA,EdgeB,FamilyWeight,LanguageWeight,WordWeight
1422,1077,1,1,1
1422,769,1,1,1
1634,1633,1,1,1
1634,1265,1,1,1
1634,1704,1,1,1
1634,1245,1,1,1
1634,628,1,1,1
1634,711,1,1,1
1634,1161,1,1,1
1634,606,1,1,1
1634,1598,1,3,3
1634,256,1,1,1
1634,1484,1,1,1
1634,291,1,1,1
1634,674,1,4,4
1634,262,1,1,1
1634,504,1,1,1
1634,1899,1,1,1
1634,1358,1,1,1
1634,1478,1,1,1
1634,1789,1,1,1
1634,1231,1,1,1
1634,1560,1,3,3
1634,1075,1,1,1
1634,1515,1,1,1
1634,133,1,1,1
1634,1088,1,1,1
1634,38,1,1,1
1634,1467,1,1,1
1634,123,1,1,1
1634,1600,1,1,1
1634,1236,1,1,1
1634,342,1,1,1
1634,1712,1,1,1
1597,937,1,1,1
1597,740,1,1,1
497,640,1,1,1
497,64,1,1,1
497,1226,1,1,1
497,1892,1,1,1
497,107,1,2,2
497,1705,1,1,1
497,503,1,2,2
497,1712,1,1,1
497,1381,1,1,1
497,1048,1,1,1
497,155,1,1,1
497,318,3,6,6
497,1504,1,1,1
497,502,1,1,1
497,1109,10,16,17
497,1457,1,1,1
497,1367,1,2,2
497,1228,1,1,1
497,713,1,1,1
497,1560,1,1,1
497,1221,1,1,1
497,1148,4,10,10
497,1686,1,1,1
497,1382,1,1,1
497,641,1,1,1
497,1286,1,1,1
497,1853,1,1,1
646,1143,1,1,1
646,185,1,1,1
646,1188,2,2,2
646,1551,1,1,1
646,1440,1,1,1
646,1571,1,1,1
646,195,1,2,2
646,67,1,2,3
646,680,1,1,1
646,1268,1,1,1
646,1547,1,1,1
646,2,7,10,10
646,1507,1,1,1
646,859,1,1,1
646,239,1,1,1
646,1355,1,1,1
646,1432,1,1,1
646,255,1,1,1
646,1837,1,1,1
646,962,1,1,1
646,1769,1,1,1
646,2262,1,1,1
646,761,1,1,1
646,623,1,1,1
646,1202,1,1,1
646,624,1,1,1
646,1092,1,1,1
646,1229,1,1,1
646,406,1,1,1
646,671,1,1,1
646,1150,1,1,1
646,1904,1,1,1
646,812,1,4,4
948,189,1,1,1
948,1651,2,2,2
948,178,1,1,1
948,1539,1,1,1
948,2144,2,2,2
948,98,1,1,1
948,1226,3,4,4
948,1551,1,1,1
948,2125,1,1,1
948,1440,1,1,1
948,389,1,1,1
948,1566,1,1,1
948,1248,1,1,1
948,1606,1,1,1
948,1547,4,5,5
948,1381,1,1,1
948,1458,1,2,2
948,1439,1,1,1
948,692,1,1,1
948,1524,1,1,1
948,658,8,11,11
948,2007,1,1,1
948,962,1,1,1
948,426,1,1,1
948,1420,1,1,1
948,1292,1,1,1
948,1219,1,1,1
948,1387,1,1,1
948,2575,1,1,1
948,1401,3,3,3
948,951,1,1,1
948,1686,1,1,1
948,1201,1,2,2
948,113,1,1,1
948,897,1,1,1
948,1286,1,1,1
948,155,1,1,1
948,581,1,1,1
948,1446,1,1,1
948,1212,1,1,1
948,605,1,1,1
948,946,1,2,2
948,1726,2,5,5
948,1577,1,1,1
948,1849,1,1,1
948,323,1,1,1
948,1991,1,1,1
948,162,1,1,1
948,1676,1,1,1
948,345,7,18,18
948,321,1,1,1
948,411,1,1,1
948,1710,1,1,1
948,1852,1,1,1
948,1040,1,1,1
948,998,1,1,1
948,623,1,1,1
948,624,3,3,3
948,666,16,29,30
948,1754,1,1,1
948,731,8,19,19
948,610,1,1,1
948,1235,1,2,2
948,1003,1,1,1
948,1890,1,1,1
948,1874,1,1,1
948,404,2,2,2
1902,1869,1,1,1
1902,921,1,1,1
1902,146,1,1,1
1902,582,1,1,1
1902,1594,1,1,1
1902,1300,1,1,1
1902,626,1,1,1
1902,1330,1,1,1
1902,1571,7,22,22
1902,1447,3,5,5
1902,1458,1,2,2
1902,1456,1,2,2
1902,1244,1,1,1
1902,409,1,1,1
1902,601,1,1,1
1902,1358,2,2,2
1902,2135,2,2,2
1902,1740,1,1,1
1902,1675,1,1,1
1902,627,1,1,1
1902,1494,1,1,1
1902,2024,1,1,1
1902,718,1,3,3
1902,1128,1,1,1
1902,85,2,2,2
1902,1003,1,1,1
1902,713,1,1,1
1902,1696,2,2,2
1902,1453,1,1,1
1902,1264,1,1,1
1902,1623,1,1,1
162,581,1,1,1
162,371,1,1,1
162,3,1,1,1
162,129,2,2,2
162,379,1,1,1
162,1046,1,1,1
162,68,1,1,1
162,1852,1,1,1
162,1685,1,1,1
162,1392,1,1,1
162,1839,2,2,2
162,797,1,1,1
162,1866,1,1,1
162,1686,1,1,1
162,1676,1,1,1
162,897,1,1,1
162,1155,1,1,1
162,690,1,1,1
162,366,1,1,1
1121,738,1,1,1
1121,303,1,1,1
1121,819,1,1,1
1121,157,1,1,1
1121,82,1,1,1
1121,1903,1,1,1
1121,1596,1,1,1
1121,1338,1,1,1
1121,1991,1,1,1
1121,1719,1,1,1
1121,1773,1,1,1
1121,647,1,3,3
1121,48,1,1,1
1121,1504,1,1,1
1121,1523,1,1,1
1121,1554,1,1,1
1121,1593,1,1,1
1121,1424,1,1,1
1121,1764,3,3,3
1121,793,1,1,1
1121,392,1,1,1
1121,1660,1,1,1
1121,55,2,2,2
1121,1915,1,1,1
1121,485,1,1,1
1093,1950,1,1,1
1093,682,2,2,2
1093,266,1,1,1
1093,1785,1,1,1
1093,1606,1,1,1
1093,221,1,1,1
1093,1694,1,1,1
1093,779,1,1,1
1093,1202,1,1,1
1093,1458,1,1,1
1093,1838,3,3,3
1093,1186,1,1,1
1093,816,17,22,22
1093,1227,1,1,1
