418,1852,1,3,3
418,1676,1,1,1
770,1247,17,30,33
770,1916,1,1,1
1451,1355,13,25,25
1696,1447,5,11,11
1696,1902,1,1,1
21,117,1,1,1
21,1098,1,1,1
21,1812,3,4,4
21,1506,1,1,1
783,782,1,1,1
1468,719,1,1,1
1468,1409,1,2,2
1468,1819,1,1,1
1275,1623,4,5,5
1275,1458,4,8,8
1275,1115,2,2,2
2257,2265,1,1,1
2257,2264,1,1,1
2257,2254,5,6,6
2257,2255,5,5,5
2257,2256,3,5,5
2257,306,1,1,1
1959,1958,1,1,1
1959,1425,1,1,1
1959,1726,1,1,1
568,705,5,6,8
568,1102,1,1,1
705,568,6,12,12
705,1102,5,12,13
1997,2008,1,1,1
1997,1897,1,1,1
1997,1477,4,8,9
1997,1330,1,1,1
1997,1940,1,1,1
24,661,1,1,1
24,1828,5,6,7
24,257,2,2,2
24,1309,1,1,1
1989,619,1,1,1
1989,934,1,1,1
1989,1008,2,2,2
1989,1153,9,10,10
1989,631,2,2,2
1989,1007,8,9,9
1989,1169,2,7,7
481,480,6,18,21
481,1530,3,6,6
481,271,1,1,1
1361,951,1,1,1
1703,1500,1,1,1
580,964,2,4,4
580,1204,1,1,1
580,629,5,6,6
580,1201,2,6,6
580,763,6,11,11
580,189,2,4,4
1562,1162,1,1,1
1562,1583,1,2,2
1562,1223,1,1,1
1562,1609,1,1,1
1481,2133,1,1,1
1647,1862,2,2,2
1647,938,5,13,13
1647,936,5,23,24
1647,615,22,34,35
1647,890,2,2,2
748,1486,1,1,1
652,606,1,1,1
652,921,2,2,2
652,212,1,2,2
652,342,1,1,1
652,586,1,1,1
1047,1085,7,27,27
190,1432,4,5,5
190,155,1,1,1
190,355,1,1,1
978,1923,1,1,1
1489,249,2,3,3
1489,778,1,1,2
1104,597,1,1,1
474,1616,3,3,3
474,603,1,1,1
474,1622,2,17,17
474,1895,8,15,17
474,328,1,1,1
474,1600,5,5,5
1536,1408,2,2,2
1536,1410,3,3,3
649,921,1,1,1
649,606,8,9,9
649,652,3,6,6
649,212,3,3,3
649,653,1,1,1
649,342,3,3,3
1740,1915,1,2,2
1740,287,1,1,1
1917,760,3,6,7
1485,193,1,1,1
1485,1326,1,1,1
1485,721,3,4,4
1485,690,3,5,5
1485,2094,8,12,12
2,646,2,2,2
2,1594,1,1,1
670,525,1,1,1
1810,1000,1,2,2
1810,781,9,16,16
1616,474,2,2,2
1616,603,1,1,1
1616,1622,1,1,1
1616,1895,4,7,7
1616,332,2,2,2
676,14,1,1,1
257,1828,1,1,1
257,24,1,4,4
1484,323,4,7,7
1484,1926,2,2,2
1484,1245,2,3,3
1383,305,1,1,1
1383,1669,1,1,1
1383,1496,2,3,4
1383,1229,2,2,2
2125,2118,1,1,1
2125,618,1,1,1
1229,406,4,10,10
1229,907,1,1,1
698,1310,6,9,10
1071,1074,1,1,1
1085,1047,3,3,3
2144,658,1,1,1
2144,1547,1,1,1
2144,948,8,13,14
586,212,1,1,1
1327,1984,1,2,2
1327,1217,2,6,7
1327,1985,3,4,4
333,133,3,5,5
333,1729,5,7,7
1291,805,1,1,1
1291,172,1,1,1
421,2003,1,1,1
421,956,1,1,1
344,241,2,2,2
344,420,1,1,1
344,1803,11,16,16
344,184,1,1,1
344,281,5,6,6
344,906,16,34,63
344,10,1,1,1
1623,9,1,1,1
1623,1711,3,4,4
1623,1458,4,5,5
1623,304,1,2,2
1623,1115,4,12,13
707,1513,2,5,5
707,1415,4,4,4
754,1631,13,26,27
754,703,3,3,3
754,1963,2,2,2
1033,1452,1,1,1
1033,1913,1,1,1
280,1132,4,11,12
280,829,1,3,3
413,692,3,11,11
413,43,3,10,10
413,700,7,63,63
413,414,3,10,10
413,412,4,8,8
413,1749,1,12,12
413,694,1,5,5
