1897,HELP,62
1477,KEEP,62
1997,PRESERVE,62
1330,DEFEND,62
1022,BOOTY,62
2008,RESCUE,62
305,GRANDPARENTS,63
907,OLD WOMAN,63
1229,OLD,63
406,OLD MAN,63
1383,GRANDFATHER,63
1669,ANCESTORS,63
1496,GRANDMOTHER,63
709,TEACH,64
724,READ,64
504,LEARN,64
1929,STUDY,64
501,LIFT,65
1576,PILE UP,65
371,PICK UP,65
7,GATHER,65
1750,CHOOSE,65
1743,JOIN,65
1175,GHOST,66
2138,LEGENDARY CREATURE,66
1388,SHADE,66
53,SPIRIT,66
1706,ELEVEN,66
1973,DEMON,66
1223,HEART,66
416,OUTRIGGER,67
1597,AIRPLANE,67
1970,CANOE,67
1664,RAFT,67
1844,BOAT,67
740,SHIP,67
1502,GOAT,68
1345,EWE,68
1344,RAM,68
264,HE-GOAT,68
1331,SHEEP,68
1972,KID,68
820,LAMB,68
1069,GLUE,69
1547,SOUP,69
731,DRINK (FLUID),69
2144,SPRING OR WELL,69
658,RAIN (PRECIPITATION),69
345,SAP,69
948,WATER,69
666,RIVER,69
1651,TEAR (OF EYE),69
1126,CITRUS FRUIT,70
1906,SOUR,70
1274,SALT,70
1091,SALTY,70
887,BITTER,70
70,BRACKISH,70
1035,GOOD,71
1495,HAPPY,71
1364,HEALTHY,71
1702,HOLY,71
1427,BEAUTIFUL,71
90,INNOCENT,71
704,CLEAN,71
1840,BUILD,72
289,MOLD,72
984,WORK (LABOUR),72
2575,DO OR MAKE,72
1487,POUR,72
211,CAST,72
1439,SWIM,73
138,BATHE,73
2003,FLOW,73
787,SAIL,73
1453,WASH,73
1574,FLOAT,73
1183,PALM OF HAND,74
493,FIVE,74
1673,ARM,74
81,FATHOM,74
799,WRIST,74
1277,HAND,74
1327,UNCLE,75
1217,FATHER,75
1984,MOTHER'S BROTHER,75
1985,FATHER'S BROTHER,75
27,AIR,76
654,PLASTIC,76
1407,BREATHE,76
960,WIND,76
168,REST,76
858,STORM,76
729,DAWN,77
1329,TOMORROW,77
1628,SQUIRREL,77
1174,YESTERDAY,77
1877,EAST,77
1339,MORNING,77
672,EARLY,77
1986,DISEASE,78
497,SCAR,78
1109,WOUND,78
1783,PAIN,78
1148,BRUISE,78
1847,SICK,78
634,MEAT,79
2259,FLESH,79
257,WORSHIP,80
1828,ASK (REQUEST),80
661,RELIGION,80
1309,ASK (INQUIRE),80
1687,PRAISE,80
24,PRAY,80
319,LICK,81
897,SWALLOW,81
928,EMBRACE,81
778,SMOKE (EXHAUST),81
578,KISS,81
1401,DRINK,81
1421,SUCK,81
1689,SMOKE (INHALE),81
1193,STEAM,81
2252,PATH,82
667,ROAD,82
1362,STREET,82
1672,WRITE,83
157,DYE,83
647,PAINT (PIGMENTS),83
1613,COLOR,83
2001,PAINTING,83
1235,WHO,84
1237,WHERE,84
1239,HOW,84
1236,WHAT,84
1270,WHY,84
727,WHICH,84
178,RIPE,85
269,COOKED,85
792,BOIL (OF LIQUID),85
1100,COOK (SOMETHING),85
1234,SMOOTH,86
1633,FLAT,86
1757,TIRED,86
1564,LAZY,86
1324,SLIP,86
1601,WEAK,86
1856,SOFT,86
1478,WITHOUT,87
1398,DRY,87
1624,EMPTY,87
1294,ZERO,87
1269,NO,87
687,NOTHING,87
1240,NOT,87
1461,AT,88
1460,IN,88
1606,INSIDE,88
97,THROUGH,88
584,DIFFICULT,89
785,STRONG,89
1210,HEAVY,89
1884,HARD,89
377,LOUD,89
1867,COIN,90
759,SILVER,90
1559,MONEY,90
1481,HAMMER,91
722,ATTACK,91
1135,KICK,91
2133,STRIKE OR BEAT,91
285,THRESH,91
354,POUND,91
171,MOTHER'S SISTER,92
1272,AUNT,92
170,FATHER'S SISTER,92
1216,MOTHER,92
2012,COLLAR,93
1346,THROAT,93
1347,NAPE (OF NECK),93
1333,NECK,93
773,HAVE,94
684,OWN,94
1883,IN FRONT OF,95
1882,BEFORE,95
728,FIRST,95
2023,CROWD,96
790,READY,96
309,OPOSSUM,96
1881,ENOUGH,96
1198,MANY,96
1429,FULL,96
1992,MORE,96
421,RETREAT,97
1519,RUN,97
956,FLEE,97
336,PADLOCK,98
1012,LATCH,98
1472,KEY,98
1596,LOCK,98
1130,WE (EXCLUSIVE),99
1212,WE,99
1131,WE (INCLUSIVE),99
268,DRIBBLE,100
808,DRIP (FALL IN GLOBULES),100
2253,DRIP (EMIT LIQUID),100
1280,FALL,100
1440,SPIT,100
1241,SOME,101
1246,SMALL,101
738,THING,101
1242,FEW,101
591,ADDRESS,102
1251,BELLY,102
1991,INTESTINES,102
819,STOMACH,102
1874,SAUSAGE,102
804,WOMB,102
1770,CARCASS,103
1480,BODY,103
